RESULTS:

REFERENCE:

######################################################################################################
######################################################################################################
CROSS ENTROPY

2022-01-07 11:01:56 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_cross_entropy/checkpoint_best.pt
2022-01-17 07:53:29 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.07/checkpoint_best.pt
2022-01-17 07:53:33 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:37 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6140, Perplexity: 97.95

2022-01-17 07:53:29 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.08/checkpoint_best.pt
2022-01-17 07:53:34 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:41 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6145, Perplexity: 97.99

2022-01-17 07:53:29 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.09/checkpoint_best.pt
2022-01-17 07:53:34 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:44 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6169, Perplexity: 98.15

2022-01-17 07:53:32 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.11/checkpoint_best.pt
2022-01-17 07:53:36 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:08:05 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6636, Perplexity: 101.38

2022-01-07 11:02:24 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.1/checkpoint_best.pt
2022-01-07 11:02:33 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-07 11:15:10 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6176, Perplexity: 98.19

2022-01-17 07:53:32 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.11/checkpoint_best.pt
2022-01-17 07:53:36 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:08:05 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6636, Perplexity: 101.38

2022-01-17 07:54:01 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.12/checkpoint_best.pt
2022-01-17 07:54:05 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:06:03 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6422, Perplexity: 99.89

2022-01-17 07:54:02 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.13/checkpoint_best.pt
2022-01-17 07:54:06 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:06:09 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6170, Perplexity: 98.15

2022-01-17 07:54:02 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.14/checkpoint_best.pt
2022-01-17 07:54:06 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:06:12 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6785, Perplexity: 102.43

2022-01-17 07:54:30 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.15/checkpoint_best.pt
2022-01-17 07:54:35 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:06:44 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6707, Perplexity: 101.88

2022-01-07 11:02:24 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.2/checkpoint_best.pt
2022-01-07 11:02:33 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-07 11:15:22 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6418, Perplexity: 99.86

2022-01-07 11:38:55 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.5/checkpoint_best.pt
2022-01-07 11:39:06 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-07 11:51:13 | INFO | fairseq_cli.eval_lm | Loss (base 2): 7.0683, Perplexity: 134.21





N=3
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
KNESER

best:

2022-01-08 06:16:58 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_kneser_d0.001_n3/checkpoint_best.pt
2022-01-08 06:17:09 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-08 06:30:01 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7625, Perplexity: 108.57

2022-01-11 05:33:37 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_kneser_d0.01_n3/checkpoint_best.pt
2022-01-11 05:33:46 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-11 05:47:06 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7731, Perplexity: 109.37

2022-01-11 05:33:36 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_kneser_d0.1_n3/checkpoint_best.pt
2022-01-11 05:33:46 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-11 05:46:14 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7760, Perplexity: 109.60

2022-01-10 07:14:07 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_kneser_d0.2_n3/checkpoint_best.pt
2022-01-10 07:14:16 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-10 07:26:27 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.8994, Perplexity: 119.38

2022-01-07 06:32:33 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_kneser_d0.5_n3/checkpoint_best.pt
2022-01-07 06:32:43 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-07 06:45:33 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.9000, Perplexity: 119.43






######################################################################################################
######################################################################################################
Good-Turing

2022-01-13 08:38:45 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_good_turing/checkpoint_best.pt
2022-01-13 08:38:55 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-13 08:51:15 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7137, Perplexity: 104.96

######################################################################################################
######################################################################################################
Katz

2022-01-11 10:08:03 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2_katz_fixed?/checkpoint_best.pt
2022-01-11 10:08:11 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-11 10:20:50 | INFO | fairseq_cli.eval_lm | Loss (base 2): 7.3311, Perplexity: 161.02

######################################################################################################
######################################################################################################
Jelinek - broken lol

2022-01-13 08:38:40 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.05_0.05_0.9/checkpoint_best.pt
2022-01-13 08:38:51 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-13 08:51:07 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.8163, Perplexity: 112.70

2022-01-11 05:37:09 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.33_0.33_0.34/checkpoint_best.pt
2022-01-11 05:37:19 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-11 05:50:17 | INFO | fairseq_cli.eval_lm | Loss (base 2): 9.8310, Perplexity: 910.80



n=2
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
Jelinek

2022-01-14 07:42:19 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.1_0.9/checkpoint_best.pt
2022-01-14 07:42:29 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-14 07:55:16 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6155, Perplexity: 98.05

2022-01-17 07:48:36 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.15_0.85/checkpoint_best.pt
2022-01-17 07:48:46 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:01:45 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.9537, Perplexity: 123.96

2022-01-14 07:45:45 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.2_0.8/checkpoint_best.pt
2022-01-14 07:45:54 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-14 07:58:14 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6068, Perplexity: 97.47

2022-01-17 07:48:35 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.25_0.75/checkpoint_best.pt
2022-01-17 07:48:45 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:01:08 | INFO | fairseq_cli.eval_lm | Loss (base 2): 7.0259, Perplexity: 130.32

2022-01-14 07:42:18 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/transformer_wikitext-2-jelinek_0.3_0.7/checkpoint_best.pt
2022-01-14 07:42:28 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-14 07:54:42 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6075, Perplexity: 97.51

######################################################################################################
######################################################################################################
Kneser

2022-01-15 07:02:08 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_n2_kneser_d0.001/checkpoint_best.pt
2022-01-15 07:02:18 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-15 07:15:21 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7796, Perplexity: 109.86

2022-01-15 07:02:08 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_n2_kneser_d0.01/checkpoint_best.pt
2022-01-15 07:02:18 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-15 07:15:26 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7706, Perplexity: 109.18

2022-01-15 07:02:08 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_n2_kneser_d0.1/checkpoint_best.pt
2022-01-15 07:02:18 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-15 07:15:05 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7572, Perplexity: 108.17

2022-01-15 07:02:42 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_n2_kneser_d0.2/checkpoint_best.pt
2022-01-15 07:02:52 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-15 07:15:38 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.8010, Perplexity: 111.51

2022-01-15 07:02:38 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_n2_kneser_d0.4/checkpoint_best.pt
2022-01-15 07:02:49 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-15 07:15:26 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.0168, Perplexity: 259.00

2022-01-15 07:02:38 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_n2_kneser_d0.6/checkpoint_best.pt
2022-01-15 07:02:48 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-15 07:15:15 | INFO | fairseq_cli.eval_lm | Loss (base 2): 9.7733, Perplexity: 875.09

######################################################################################################
######################################################################################################
Katz











DEBUG

2022-01-09 11:52:47 | INFO | fairseq.tasks.language_modeling | dictionary: 15960 types
2022-01-09 11:52:47 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_4000_cross_entropy/checkpoint_best.pt
2022-01-09 11:52:56 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-4000 test 114,082 examples
2022-01-09 12:02:35 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.0872, Perplexity: 271.95

2022-01-09 11:51:17 | INFO | fairseq.tasks.language_modeling | dictionary: 15960 types
2022-01-09 11:51:17 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext2_4000_kneser_d0.0001_n3/checkpoint_best.pt
2022-01-09 11:51:27 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-4000 test 114,082 examples
2022-01-09 12:01:22 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.2244, Perplexity: 299.09




######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
######################################################################################################
KATZ

2022-01-21 05:45:56 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:45:56 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_katz_k2_n2/checkpoint_best.pt
2022-01-21 05:46:07 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:07 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:07 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:03:49 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1024.2s (239.77 tokens/s)
2022-01-21 06:03:49 | INFO | fairseq_cli.eval_lm | Loss (base 2): 13.7141, Perplexity: 13438.94

2022-01-21 05:45:58 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:45:58 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_katz_k3_n2/checkpoint_best.pt
2022-01-21 05:46:09 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:09 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:09 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:07 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1041.4s (235.80 tokens/s)
2022-01-21 06:04:07 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5888, Perplexity: 385.02

2022-01-21 05:45:58 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:45:58 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_katz_k4_n2/checkpoint_best.pt
2022-01-21 05:46:09 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:09 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:09 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:03:55 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1030.4s (238.33 tokens/s)
2022-01-21 06:03:55 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5789, Perplexity: 382.40

2022-01-21 05:46:43 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:46:43 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_katz_k5_n2/checkpoint_best.pt
2022-01-21 05:46:53 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:53 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:53 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:21 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1011.3s (242.83 tokens/s)
2022-01-21 06:04:21 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5811, Perplexity: 382.98

######################################################################################################
######################################################################################################
KNESER

2022-01-21 05:46:46 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:46:46 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.01/checkpoint_best.pt
2022-01-21 05:46:51 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:51 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:51 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:36 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1027.9s (238.90 tokens/s)
2022-01-21 06:04:36 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5916, Perplexity: 385.78

2022-01-21 05:46:46 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:46:46 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.02/checkpoint_best.pt
2022-01-21 05:46:51 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:51 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:51 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:27 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1018.5s (241.12 tokens/s)
2022-01-21 06:04:27 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5833, Perplexity: 383.57

2022-01-21 05:46:47 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:46:47 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.04/checkpoint_best.pt
2022-01-21 05:46:52 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:46:52 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:46:52 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:14 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1009.6s (243.23 tokens/s)
2022-01-21 06:04:14 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5571, Perplexity: 376.67

2022-01-21 05:46:50 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:46:50 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.08/checkpoint_best.pt
2022-01-21 05:47:01 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:47:01 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:47:01 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:43 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1027.2s (239.07 tokens/s)
2022-01-21 06:04:43 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5354, Perplexity: 371.02

2022-01-21 05:47:12 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:47:12 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.16/checkpoint_best.pt
2022-01-21 05:47:42 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:47:42 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:47:42 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:06:03 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1062.7s (231.08 tokens/s)
2022-01-21 06:06:03 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.4969, Perplexity: 361.25

2022-01-21 05:47:04 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:47:04 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.32/checkpoint_best.pt
2022-01-21 05:47:33 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:47:33 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:47:33 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:04:41 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 996.8s (246.36 tokens/s)
2022-01-21 06:04:41 | INFO | fairseq_cli.eval_lm | Loss (base 2): 8.5144, Perplexity: 365.68

2022-01-21 05:47:10 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-21 05:47:10 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_n2_kneser_0.64/checkpoint_best.pt
2022-01-21 05:47:49 | INFO | fairseq_cli.eval_lm | num. model params: 58,145,792
2022-01-21 05:47:49 | INFO | fairseq.data.data_utils | loaded 4,358 examples from: data-bin/wikitext-2-raw-full/test
2022-01-21 05:47:49 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2-raw-full test 122,785 examples
2022-01-21 06:13:41 | INFO | fairseq_cli.eval_lm | Evaluated 245,569 tokens in 1489.6s (164.85 tokens/s)
2022-01-21 06:13:41 | INFO | fairseq_cli.eval_lm | Loss (base 2): 9.6506, Perplexity: 803.76


######################################################################################################
######################################################################################################
CROSS ENTROPY

2022-01-24 06:27:12 | INFO | fairseq.tasks.language_modeling | dictionary: 76624 types
2022-01-24 06:27:12 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/w2_cross_entropy/checkpoint_best.pt
